CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOC,Tranquille,Sancerre,,,Blanc,,AOC Sancerre Blanc,1B195S
AOC,Tranquille,Sancerre,,,Rouge,,AOC Sancerre Rouge,1R196S
AOC,Tranquille,Sancerre,,,Rosé,,AOC Sancerre Rosé,1S196S
AOC,Tranquille,Pouilly-Fumé,,,Blanc,,AOC Pouilly-Fumé,1B192S
AOC,Tranquille,Pouilly-sur-Loire,,,Blanc,,AOC Pouilly-sur-Loire,1B191S
AOC,Tranquille,Menetou-Salon,,,Blanc,,AOC Menetou-Salon Blanc,1B190S
AOC,Tranquille,Menetou-Salon,,,Rouge,,AOC Menetou-Salon Rouge,1R190S
AOC,Tranquille,Menetou-Salon,,,Rosé,,AOC Menetou-Salon Rosé,1S190S
AOC,Tranquille,Quincy,,,Blanc,,AOC Quincy,1B193S
AOC,Tranquille,Reuilly,,,Blanc,,AOC Reuilly Blanc,1B194S
AOC,Tranquille,Reuilly,,,Rouge,,AOC Reuilly Rouge,1R194S
AOC,Tranquille,Reuilly,,,Rosé,,AOC Reuilly Rosé,1S194S
AOC,Tranquille,Coteaux du Giennois,,,Blanc,,AOC Coteaux du Giennois Blanc,1B197S
AOC,Tranquille,Coteaux du Giennois,,,Rouge,,AOC Coteaux du Giennois Rouge,1R197S
AOC,Tranquille,Coteaux du Giennois,,,Rosé,,AOC Coteaux du Giennois Rosé,1S197S
AOC,Tranquille,Châteaumeillant,,,Rouge,,AOC Châteaumeillant Rouge,1R700
AOC,Tranquille,Châteaumeillant,,,Rosé,,AOC Châteaumeillant Rosé,1S700
AOC,VCI,Menetou-Salon,,,Blanc,,AOC Menetou-Salon Blanc VCI,1B190S
AOC,VCI,Quincy,,,Blanc,,AOC Quincy VCI,1B193S
AOC,VCI,Reuilly,,,Blanc,,AOC Reuilly Blanc VCI,1B194S
Autre AOC,Tranquille,Anjou,,,Blanc,,Anjou Blanc,1B200
Autre AOC,Tranquille,Anjou,,,Rouge,,Anjou Rouge,1R200S
Autre AOC,Tranquille,Quarts de Chaume,,,Blanc,Chenin,Quarts de Chaume,1B214L
Autre AOC,Tranquille,Savennières,,,Blanc,Chenin,Savennières,1B216S
Autre AOC,Tranquille,Vouvray,,,Blanc,,Vouvray,1B226
Autre AOC,Tranquille,Rosé de Loire,,,Rosé,,Rosé de Loire,1S209S
Autre AOC,Tranquille,Saumur,,,Blanc,Chenin,Saumur Blanc,1B206
Autre AOC,Tranquille,Saumur,,,Rouge,,Saumur Rouge,1R206S
Autre AOC,Tranquille,Saumur Champigny,,,Rouge,,Saumur Champigny,1R208
Autre AOC,Tranquille,Muscadet Sèvre et Maine,,,Blanc,Melon,Muscadet Sèvre et Maine,1B230
Autre AOC,Tranquille,Muscadet Sèvre et Maine,Sur lie,,Blanc,Melon,Muscadet Sèvre et Maine Sur lie,1B230 01
Autre AOC,Tranquille,Rosé d'Anjou,,,Rosé,,Rosé d'Anjou,1S200D
Autre AOC,Tranquille,Anjou-Villages,,,Rouge,,Anjou-Villages,1R204S
Autre AOC,Tranquille,Cabernet d'Anjou,,,Rosé,,Cabernet d'Anjou,1S201D
Autre AOC,Tranquille,Chinon,,,Blanc,Chenin,Chinon Blanc,1B222S
Autre AOC,Tranquille,Chinon,,,Rouge,Cabernet Franc,Chinon Rouge,1R222S
Autre AOC,Tranquille,Chinon,,,Rosé,Cabernet Franc,Chinon Rosé,1S222S
Autre AOC,Tranquille,Coteaux du Layon,,,Blanc,Chenin,Coteaux du Layon,1B212L
Autre AOC,Tranquille,Coteaux du Layon,,Beaulieu,Blanc,,Coteaux du Layon Beaulieu,1B212L01
Autre AOC,Tranquille,Gros plant,,,Blanc,Folle blanche,Gros plant,1B708
Autre AOC,Tranquille,Gros plant,Sur lie,,Blanc,Folle blanche,Gros plant Sur lie,1B708
Autre AOC,Tranquille,St Nicolas de Bourgueil,,,Rouge,Cabernet Franc,St Nicolas de Bourgueil Rouge,1R221S
Autre AOC,Tranquille,St Nicolas de Bourgueil,,,Rosé,Cabernet Franc,St Nicolas de Bourgueil Rosé,1S221S
Autre AOC,Tranquille,Touraine,,,Blanc,,Touraine Blanc,1B235S
Autre AOC,Tranquille,Touraine,,,Rouge,,Touraine Rouge,1R235S
Autre AOC,Tranquille,Touraine,,,Rosé,,Touraine Rosé,1S235S
Autre AOC,Tranquille,Touraine,,Amboise,Blanc,Chenin,Touraine Amboise Blanc,1B236
Autre AOC,Tranquille,Touraine,,Amboise,Rouge,,Touraine Amboise Rouge,1R236S
Autre AOC,Tranquille,Coteaux du Vendomois,,,Blanc,,Coteaux du Vendomois Blanc,1B218S
Autre AOC,Tranquille,Coteaux du Vendomois,,,Rouge,,Coteaux du Vendomois Rouge,1R218S
Autre AOC,Tranquille,Coteaux du Vendomois,,,Rosé,,Coteaux du Vendomois Rosé,1S218S
Autre AOC,Tranquille,Coteaux de l'Aubance,,,Blanc,Chenin,Coteaux de l'Aubance,1B211L
Autre AOC,Tranquille,Anjou-Villages Brissac,,,Rouge,,Anjou-Villages Brissac,1R217S
Autre AOC,Mousseux,Crémant de Loire,,,Blanc,,Crémant de Loire Blanc,1B215M
Autre AOC,Mousseux,Crémant de Loire,,,Rosé,,Crémant de Loire Rosé,1S215M
Autre AOC,Mousseux,Touraine,,,Blanc,,Touraine Mousseux Blanc,1B235M 1
Autre AOC,Mousseux,Touraine,,,Rosé,,Touraine Mousseux Rosé,1S235M 1
