TYPE_DRM,CATEGORIE MOUVEMENT,TYPE MOUVEMENT,LIBELLE MOUVEMENT,DESCRIPTION MOUVEMENT,CARACTERISTIQUES,DOUANE
suspendu,stocks_debut,revendique,stock début de mois,stock début de mois,,stock-debut-periode
suspendu,entrees,achatcrd,achat,achats de vrac et/ou de bouteilles,,entrees-periode/achats-reintegrations
suspendu,entrees,declassement,déclassement,déclassements d'aop ou igp en vins sans ig,,entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,entrees,excedents,excédents,excédents suite à inventaire ou contrôle des douanes,OBSERVATIONS,entrees-periode/autres-entrees
suspendu,entrees,manipulation,manipulations,augmentation constatée des volumes suite à des manipulations œnologiques,OBSERVATIONS,entrees-periode/autres-entrees
suspendu,entrees,repli,repli,repli d'une aop vers une autre ou changement de dénomination,,entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,entrees,revendique,revendiqué,volumes revendicables tels que renseignés en ligne 14 ou 15 de la déclaration de récolte,,entrees-periode/volume-produit
suspendu,entrees,retourmarchandisetaxeesacquitte,réintégr. crd - acq.,retour de marchandises sous crd (acquitté),DATE_REPLACEMENT;OBSERVATIONS,entrees-periode/replacements/replacement-suspension/volume
suspendu,entrees,retourmarchandisetaxees,réintégr. crd - susp.,retour de marchandises sous crd (suspendu),DATE_REPLACEMENT;OBSERVATIONS,entrees-periode/replacements/replacement-suspension/volume
suspendu,entrees,retourmarchandisenontaxees,réintégrations non crd,réintégrations après sortis en suspension de droits,OBSERVATIONS,entrees-periode/autres-entrees
suspendu,entrees,transferts,transfert,transfert de comptabilité matière ou cession. fermage / métayage.  coopérative,,entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,entrees,travailafacon,travail à façon,retour d'embouteillage. relogement. travail à façon. distillation à façon,,entrees-periode/mouvements-temporaires/travail-a-facon
suspendu,entrees,vci,vci,intégration volume complémentaire individuel agréé,,entrees-periode/mouvements-internes/integration-vci-agree
suspendu,sorties,ventefrancebibcrdacquitte,bib crd - acquitté,ventes de bib en france sous crd. pion (acquitté),,sorties-periode/ventes-france-crd-acquittes
suspendu,sorties,ventefrancebibcrd,bib crd - suspendu,ventes de bib en france sous crd. pion (suspendu),,sorties-periode/ventes-france-crd-suspendus/annee-courante
suspendu,sorties,ventefrancebouteillecrdacquitte,bouteilles crd - acquitté,ventes de bouteilles en france sous crd (acquitté),,sorties-periode/ventes-france-crd-acquittes
suspendu,sorties,ventefrancebouteillecrd,bouteilles crd - susp.,ventes de bouteilles en france sous crd (suspendu),,sorties-periode/ventes-france-crd-suspendus/annee-courante
suspendu,sorties,consommationfamilialedegustation,conso. familiale,consommation familiale. dégustation. échantillons. cadeaux. dons,,sorties-periode/sorties-sans-paiement-droits/consommation-familiale-degustation
suspendu,sorties,vrac,contrat interloire,ventes de vrac ou de conditionnés avec un contrat interloire; précisez le numéro d'enregistrement,CONTRAT,sorties-periode/sorties-sans-paiement-droits/sorties-definitives
suspendu,sorties,destructionperte,destruction / manquants,destruction / manquants suite  à inventaire ou contrôle des douanes,OBSERVATIONS,sorties-periode/sorties-sans-paiement-droits/autres-sorties
suspendu,sorties,distillation,distillation,distillation,OBSERVATIONS,sorties-periode/sorties-sans-paiement-droits/autres-sorties
suspendu,sorties,declassement,déclassement,déclassements d'aop ou igp en vins sans ig,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,sorties,export,export,ventes de vrac ou conditionnés à l'export; précisez les pays destinataires,PAYS,sorties-periode/sorties-sans-paiement-droits/sorties-definitives
suspendu,sorties,manquant,manipulations / pertes,réduction constatée des volumes suite à des manipulations œnologiques ou des soutirages. pertes,OBSERVATIONS,sorties-periode/sorties-sans-paiement-droits/autres-sorties
suspendu,sorties,repli,repli,repli d'une aop vers une autre ou changement de dénomination,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,sorties,transfertsinternes,transfert,transfert de comptabilité matière ou cession. fermage / métayage.  coopérative,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,sorties,travailafacon,travail à façon,sortie pour prestation d'embouteillage. relogement. élaboration de vins mousseux,,sorties-periode/sorties-sans-paiement-droits/mouvements-temporaires/travail-a-facon
suspendu,sorties,usageindustriel,usages industr.,lies. usage agroalimentaire. vinaigrerie,OBSERVATIONS,sorties-periode/sorties-sans-paiement-droits/autres-sorties
suspendu,sorties,vci,vci,revendication volume complémentaire individuel,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/revendication-vci
suspendu,sorties,contrathorsinterpro,vente négoce hors contrat itl,vente negoce hors contrat interloire,,sorties-periode/sorties-sans-paiement-droits/sorties-definitives
suspendu,sorties,vracsanscontrat,vrac sans contrat,ventes de petit vrac (dsa. tickets. factures),,sorties-periode/ventes-france-crd-suspendus/annee-courante
suspendu,stocks_fin,revendique,stock fin de mois,stock fin de mois,,stock-fin-periode
acquitte,stocks_debut,revendique,initial,a remplir uniquement sur la 1ère drm de campagne. en août. indiquer le stock réel constaté par inventaire et identique à la déclaration de stocks. pour tous les mois suivants de la campagne. le stock est automatiquement repris du mois précédent.,,stock-debut-periode
acquitte,entrees,achat,achats,indiquer les achats du produit.,,entrees-periode/achats
acquitte,entrees,autre,autres,autres entrées du produit. ex : correspondant à une sortie de produits en droits suspendus pour lesquels les droits ont été payés.,OBSERVATIONS,entrees-periode/autres-entrees
acquitte,sorties,autre,autres,indiquer les volumes commercialisés à l'export.,OBSERVATIONS,sorties-periode/autres-sorties
acquitte,sorties,replacementsuspension,replacement en suspension,indiquer le replacement du produit en suspension de droits.,OBSERVATIONS,sorties-periode/replacement-suspension
acquitte,sorties,vente,ventes de produits ,indiquer les ventes du produit.,,sorties-periode/ventes
acquitte,stocks_fin,revendique,final,calcul automatique: cette case ne peut être modifiée.,,stock-fin-periode
