CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOP,,Anjou,,,Blanc,,Anjou Blanc,1B200
AOP,,Anjou,,,Rouge,Gamay,Anjou Gamay,1R203S
AOP,,Anjou,,,Rouge,,Anjou Rouge,1R200S
AOP,,Anjou,Primeur,,Rouge,Gamay,Anjou Gamay Primeur,1R203S01
AOP,,Anjou Coteaux de la Loire,,,Blanc,Chenin,Anjou Coteaux de la Loire,1B202L
AOP,,Anjou-Villages,,,Rouge,,Anjou-Villages,1R204S
AOP,,Anjou-Villages Brissac,,,Rouge,,Anjou-Villages Brissac,1R217S
AOP,,Bonnezeaux,,,Blanc,,Bonnezeaux,1B210L
AOP,,Cabernet d'Anjou,,,Rosé,,Cabernet d'Anjou,1S201D
AOP,,Cabernet de Saumur,,,Rosé,,Cabernet de Saumur,1S207
AOP,,Chinon,,,Blanc,Chenin,Chinon Blanc,1B222S
AOP,,Chinon,,,Rouge,Cabernet Franc,Chinon Rouge,1R222S
AOP,,Chinon,,,Rosé,Cabernet Franc,Chinon Rosé,1S222S
AOP,,Coteaux d'Ancenis,,,Blanc,Chenin,Coteaux d'Ancenis Blanc Chenin,1B707S01
AOP,,Coteaux d'Ancenis,,,Blanc,Malvoisie,Coteaux d'Ancenis Blanc Malvoisie,1B707S
AOP,,Coteaux d'Ancenis,,,Rouge,Gamay,Coteaux d'Ancenis Rouge Gamay,1R707S03
AOP,,Coteaux d'Ancenis,,,Rouge,Cabernet,Coteaux d'Ancenis Rouge Cabernet,1R707S02
AOP,,Coteaux d'Ancenis,,,Rosé,Gamay,Coteaux d'Ancenis Rosé Gamay,1S707S03
AOP,,Coteaux d'Ancenis,,,Rosé,Cabernet,Coteaux d'Ancenis Rosé Cabernet,1S707S02
AOP,,Coteaux de l'Aubance,,,Blanc,Chenin,Coteaux de l'Aubance,1B211L
AOP,,Coteaux de l'Aubance,SGN,,Blanc,Chenin,Coteaux de l'Aubance SGN,1B211L01
AOP,,Coteaux de Saumur,,,Blanc,Chenin,Coteaux de Saumur,1B213L
AOP,,Coteaux du Layon,,,Blanc,Chenin,Coteaux du Layon,1B212L
AOP,,Coteaux du Layon,,Beaulieu,Blanc,,Coteaux du Layon Beaulieu,1B212L01
AOP,,Coteaux du Layon,,Rochefort,Blanc,,Coteaux du Layon Rochefort,1B212L05
AOP,,Coteaux du Layon,,Rablay,Blanc,,Coteaux du Layon Rablay,1B212L04
AOP,,Coteaux du Layon,,Faye,Blanc,,Coteaux du Layon Faye,1B212L03
AOP,,Coteaux du Layon,,St Aubin,Blanc,,Coteaux du Layon St Aubin,1B212L06
AOP,,Coteaux du Layon,,St Lambert,Blanc,,Coteaux du Layon St Lambert,1B212L07
AOP,,Coteaux du Layon,,1er Cru Chaume,Blanc,Chenin,Coteaux du Layon 1er Cru Chaume,1B212L02
AOP,,Coteaux du Layon,SGN,,Blanc,,Coteaux du Layon SGN,1B212L10
AOP,,Coteaux du Layon,SGN,Beaulieu,Blanc,,Coteaux du Layon Beaulieu SGN,1B212L11
AOP,,Coteaux du Layon,SGN,Faye,Blanc,,Coteaux du Layon Faye SGN,1B212L13
AOP,,Coteaux du Layon,SGN,Rablay,Blanc,,Coteaux du Layon Rablay SGN,1B212L14
AOP,,Coteaux du Layon,SGN,Rochefort,Blanc,,Coteaux du Layon Rochefort SGN,1B212L15
AOP,,Coteaux du Layon,SGN,St Aubin,Blanc,,Coteaux du Layon St Aubin SGN,1B212L16
AOP,,Coteaux du Layon,SGN,St Lambert,Blanc,,Coteaux du Layon St Lambert SGN,1B212L17
AOP,,Coteaux du Layon,Villages,,Blanc,Chenin,Coteaux du Layon Villages,1B212L
AOP,,Coteaux du loir,,,Blanc,Chenin,Coteaux du loir Blanc,1B223
AOP,,Coteaux du loir,,,Rouge,,Coteaux du loir Rouge,1R223S
AOP,,Coteaux du loir,,,Rosé,,Coteaux du loir Rosé,1S223S
AOP,,Gros plant,,,Blanc,Folle blanche,Gros plant,1B708
AOP,,Gros plant,Sur lie,,Blanc,Folle blanche,Gros plant Sur lie,1B708 01
AOP,,Jasnières,,,Blanc,Chenin,Jasnières,1B224
AOP,,Muscadet AC,,,Blanc,Melon,Muscadet AC,1B228
AOP,,Muscadet AC,Sur lie,,Blanc,Melon,Muscadet AC Sur lie,1B228 01
AOP,,Muscadet AC,Primeur,,Blanc,Melon,Muscadet AC Primeur,1B228 02
AOP,,Muscadet Coteaux de la Loire,,,Blanc,Melon,Muscadet Coteaux de la Loire,1B229
AOP,,Muscadet Coteaux de la Loire,Sur lie,,Blanc,Melon,Muscadet Coteaux de la Loire Sur lie,1B229 01
