CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
AOC,,AOC Alsace blanc,,,,Total Alsace Blanc hors mention,Total Alsace Blanc hors mention,1B001S
AOC,,AOC Alsace blanc,,,,Chasselas,AOC Alsace blanc Chasselas,1B001S 5
AOC,,AOC Alsace blanc,,,,Sylvaner,AOC Alsace blanc Sylvaner,1B001S 8
AOC,,AOC Alsace blanc,,,,Auxerrois,AOC Alsace blanc Auxerrois,1B001S0A
AOC,,AOC Alsace blanc,,,,Pinot Blanc,AOC Alsace blanc Pinot Blanc,1B001S06
AOC,,AOC Alsace blanc,,,,Pinot,AOC Alsace blanc Pinot,1B001S 7
AOC,,AOC Alsace blanc,,,,Assemblage,AOC Alsace blanc Assemblage,1B001S 9
AOC,,AOC Alsace blanc,,,,Riesling,AOC Alsace blanc Riesling,1B001S 4
AOC,,AOC Alsace blanc,,,,Pinot Gris,AOC Alsace blanc Pinot Gris,1B001S 3
AOC,,AOC Alsace blanc,,,,Muscat,AOC Alsace blanc Muscat,1B001S 2
AOC,,AOC Alsace blanc,,,,Muscat Ottonel,AOC Alsace blanc Muscat Ottonel,1B001S00
AOC,,AOC Alsace blanc,,,,Gewurztraminer,AOC Alsace blanc Gewurztraminer,1B001S 1
AOC,,AOC Alsace blanc,VT,,,Riesling,AOC Alsace blanc Riesling VT,1B001D14
AOC,,AOC Alsace blanc,VT,,,Pinot Gris,AOC Alsace blanc Pinot Gris VT,1B001D13
AOC,,AOC Alsace blanc,VT,,,Muscat,AOC Alsace blanc Muscat VT,1B001D12
AOC,,AOC Alsace blanc,VT,,,Muscat Ottonel,AOC Alsace blanc Muscat Ottonel VT,1B001D10
AOC,,AOC Alsace blanc,VT,,,Gewurztraminer,AOC Alsace blanc Gewurztraminer VT,1B001D11
AOC,,AOC Alsace blanc,SGN,,,Riesling,AOC Alsace blanc Riesling SGN,1B001D64
AOC,,AOC Alsace blanc,SGN,,,Pinot Gris,AOC Alsace blanc Pinot Gris SGN,1B001D63
AOC,,AOC Alsace blanc,SGN,,,Muscat,AOC Alsace blanc Muscat SGN,1B001D62
AOC,,AOC Alsace blanc,SGN,,,Muscat Ottonel,AOC Alsace blanc Muscat Ottonel SGN,1B001D60
AOC,,AOC Alsace blanc,SGN,,,Gewurztraminer,AOC Alsace blanc Gewurztraminer SGN,1B001D61
AOC,,AOC Alsace Lieu-dit,,,Blanc,Total Lieu dit Blanc hors mention,Total Lieu dit Blanc hors mention,1B070S
AOC,,AOC Alsace Lieu-dit,,,Blanc,Chasselas,AOC Alsace Lieu-dit Chasselas,1B070S05
AOC,,AOC Alsace Lieu-dit,,,Blanc,Sylvaner,AOC Alsace Lieu-dit Sylvaner,1B070S08
AOC,,AOC Alsace Lieu-dit,,,Blanc,Auxerrois,AOC Alsace Lieu-dit Auxerrois,1B070S0A
AOC,,AOC Alsace Lieu-dit,,,Blanc,Pinot Blanc,AOC Alsace Lieu-dit Pinot Blanc,1B070S06
AOC,,AOC Alsace Lieu-dit,,,Blanc,Pinot,AOC Alsace Lieu-dit Pinot,1B070S07
