TYPE_DRM,CATEGORIE MOUVEMENT,TYPE MOUVEMENT,LIBELLE MOUVEMENT,DESCRIPTION MOUVEMENT,CARACTERISTIQUES,DOUANE
suspendu,stocks_debut,initial,stock initial,À remplir uniquement sur la 1ère drm de campagne. en août. indiquer le stock réel constaté par inventaire et identique à la déclaration de stocks. pour tous les mois suivants de la campagne. le stock est automatiquement repris du mois précédent.,,stock-debut-periode
suspendu,entrees,recolte,01. récolte,indiquer le volume inscrit sur  la déclaration de récolte  (ligne 15 pour les aoc & igp ; ligne 14 pour les vsig ;  ligne19 pour les vci. colonne lies et bourbes. noter la somme des lies c’est-à-dire la somme de la ligne 16 - la somme de la ligne 19).,,entrees-periode/volume-produit
suspendu,entrees,repli,02. issu d'un repli,toute entrée dans cette rubrique pour une colonne doit trouver son équivalent en sortie dans une autre colonne. tout repli doit être autorisé par le cahier des charges (aoc vers une autre aoc; igp de zone ou de département vers une igp régionale).,,entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,entrees,declassement,03. issu d'un déclassement,toute entrée dans cette rubrique pour une colonne doit trouver son équivalent en sortie dans une autre colonne. tout déclassement (aoc ou igp vers les vsig) doit être déclaré à l'odg.,,entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,entrees,vci,04. intégration vci,indiquer les volumes issus de votre récolte que vous intégrez en vci,,entrees-periode/mouvements-internes/integration-vci-agree
suspendu,entrees,retourembouteillage,05. retour conditionnmt,retour de vins conditionnés  (mis en bouteilles. en bib...) à l'extérieur de votre chai par un prestataire.,,entrees-periode/mouvements-temporaires/embouteillage
suspendu,entrees,transfertcomptamatierecession,06. retour logement ext.,retour de vins logés temporairement dans un chai extérieur.,,entrees-periode/mouvements-temporaires/relogement
suspendu,entrees,travailafacon,07. retour travail à façon,retour de vins préparés  par un prestataire extérieur (mousseux).,,entrees-periode/mouvements-temporaires/travail-a-facon
suspendu,entrees,retourmarchandiseacquitte,08. retour de vin crd acq.,retour de vins préalablement sortis sous crd acquittées (déductible des cvo).,DATE_REPLACEMENT;OBSERVATIONS,entrees-periode/replacements/replacement-suspension/volume
suspendu,entrees,retourmarchandisetaxees,08. retour de vin sous crd,retour de vins préalablement sortis sous crd (déductible des cvo).,DATE_REPLACEMENT;OBSERVATIONS,entrees-periode/replacements/replacement-suspension/volume
suspendu,entrees,retourmarchandisenontaxees,09. retour de vin hors crd,retour de vins préalablement sortis sans crd (déductible des cvo).,,entrees-periode/achats-reintegrations
suspendu,entrees,achatcrd,10. achat sous crd,indiquer les volumes achetés conditionnés sous crd. cas exceptionnel.,,entrees-periode/achats-reintegrations
suspendu,entrees,achatnoncrd,11. achat hors crd,indiquer les volumes achetés sans crd. cas exceptionnel.,,entrees-periode/achats-reintegrations
suspendu,entrees,regularisation,12. excédent constaté,indiquer les volumes constatés en excédent à l'occasion d'un inventaire ou d'un contrôle des douanes.,OBSERVATIONS,entrees-periode/autres-entrees
suspendu,sorties,vrac,01. vrac sous contrat,indiquer les volumes sortis en vrac sous contrat interprofessionnel et sous daa/dac/dca ou dae.,CONTRAT,sorties-periode/sorties-sans-paiement-droits/sorties-definitives
suspendu,sorties,vracsanscontratsuspendu,02. dca hors contrat,indiquer les volumes sortis en vrac sans contrat interprofessionnel et sous daa/dac/dca ou dae. ex: vsig sous contrat franceagrimer. ,,sorties-periode/sorties-sans-paiement-droits/sorties-definitives
suspendu,sorties,apportgroupement,03. apport à groupement,indiquer les sorties à destination d'un groupement ou d'une union de coopératives.,,sorties-periode/sorties-sans-paiement-droits/sorties-definitives
suspendu,sorties,export,04. export,indiquer les volumes commercialisés à l'export  à l'exception des volumes commercialisés à l'export en vrac sous contrat interprofessionnel.,PAYS,sorties-periode/sorties-sans-paiement-droits/sorties-definitives
suspendu,sorties,vracsanscontratacquitte,05. vente sous dsa,inscrire les ventes en france sous dsa/dsac à un débitant. un particulier ou un entrepositaire agréé ne travaillant qu'en droits acquittés (n° d'accise sous la forme fr 000 000 a 0000).,,sorties-periode/ventes-france-crd-suspendus/annee-courante
suspendu,sorties,ventefrancecrd,06. vente sous crd,inscrire les sorties de vins conditionnés (bouteilles. bib. cubi...) avec capsules représentatives de droits (c.r.d.).,,sorties-periode/ventes-france-crd-suspendus/annee-courante
suspendu,sorties,ventefrancecrdacquitte,06. vente sous crd acquittée,inscrire les sorties de vins conditionnés (bouteilles. bib. cubi...) avec capsules représentatives de droits (c.r.d.) acquittées,,sorties-periode/ventes-france-crd-acquittes
suspendu,sorties,repli,07. repli,toute sortie dans cette rubrique pour une colonne doit trouver son équivalent en entrée dans une autre colonne. tout repli doit être autorisé par le cahier des charges (aoc vers une autre aoc,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,sorties,declassement,08. déclassement,toute sorties dans cette rubrique pour une colonne doit trouver son équivalent en entrée dans une autre colonne. tout déclassement (aoc ou igp vers les vsig) doit être déclaré à l'odg.,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,sorties,vci,09. revendication vci,indiquer les volumes de vci que vous intégrez dans votre stock revendiqué,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/revendication-vci
suspendu,sorties,embouteillage,10. conditionnement,indiquer les vins sortis du chai pour conditionnement extérieur par un prestataire. une fois conditionné. le vin devra revenir au chai: il sera alors noté en entrée sur la ligne retour conditionnement.,,sorties-periode/sorties-sans-paiement-droits/mouvements-temporaires/embouteillage
suspendu,sorties,transfertcomptamatiere,11. logement externe,indiquer les vins sortis pour être logés temporairement  dans un chai extérieur. ces vins devront réintégrer le chai: ils seront alors notés en entrée sur la ligne retour logement externe.,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation
suspendu,sorties,travailafacon,12. travail à façon,indiquer les vins sortis du chai pour être travaillés par un prestataire. une fois préparés. ces vins devront réintégrer le chai: ils seront alors notés en entrée sur la ligne retour travail à façon.,,sorties-periode/sorties-sans-paiement-droits/mouvements-temporaires/travail-a-facon
suspendu,sorties,consommationfamilialedegustation,13. conso. familiale,indiquer les volumes de consommation familiale.,,sorties-periode/sorties-sans-paiement-droits/consommation-familiale-degustation
suspendu,sorties,distillationusageindustriel,14. usages industriel,indiquer les sorties vers la distillerie.,OBSERVATIONS,sorties-periode/sorties-sans-paiement-droits/autres-sorties
suspendu,sorties,destructionperte,15. destruction/perte,indiquer les pertes et destructions régulières (mise en bouteilles...) ou résultant d'évènements exceptionnels (vol. casse. fuite...) dûment validées par le service des douanes.,OBSERVATIONS,sorties-periode/sorties-sans-paiement-droits/autres-sorties
suspendu,sorties,manquant,16. manquant,indiquer les volumes constatés manquants à l'occasion d'un inventaire ou d'un contrôle des douanes. (soumis à cvo).,OBSERVATIONS,sorties-periode/sorties-sans-paiement-droits/autres-sorties
suspendu,sorties,cession,17. cession d'exploitation,indiquer les volumes vendus à votre repreneur lors de la vente de l'exploitation.,OBSERVATIONS,sorties-periode/sorties-sans-paiement-droits/autres-sorties
suspendu,sorties,verslies,18. vers lies et dplc,indiquer les volumes qui ont été transférés vers le stock de lies,,sorties-periode/sorties-sans-paiement-droits/mouvements-internes/autres-mouvements-internes
suspendu,stocks_fin,final,stock théorique fin de mois,stock final,,stock-fin-periode
acquitte,stocks_debut,initial,initial,a remplir uniquement sur la 1ère drm de campagne. en août. indiquer le stock réel constaté par inventaire et identique à la déclaration de stocks. pour tous les mois suivants de la campagne. le stock est automatiquement repris du mois précédent.,,stock-debut-periode
acquitte,entrees,achat,achats,indiquer les achats du produit.,,entrees-periode/achats
acquitte,entrees,autre,autres,autres entrées du produit. ex : correspondant à une sortie de produits en droits suspendus pour lesquels les droits ont été payés.,OBSERVATIONS,entrees-periode/autres-entrees
acquitte,sorties,autre,autres,indiquer les volumes commercialisés à l'export.,OBSERVATIONS,sorties-periode/autres-sorties
acquitte,sorties,replacementsuspension,replacement en suspension,indiquer le replacement du produit en suspension de droits.,OBSERVATIONS,sorties-periode/replacement-suspension
acquitte,sorties,vente,ventes de produits ,indiquer les ventes du produit.,,sorties-periode/ventes
acquitte,stocks_fin,final,final,calcul automatique: cette case ne peut être modifiée.,,stock-fin-periode
