CERTIFICATION,GENRE,APPELLATION,MENTION,LIEU,COULEUR,CEPAGE,LIBELLE_PRODUIT,IDENTIFIANT INAO
IGP,Tranquille,,,,Rosé,,IGP Rosé,
IGP,Tranquille,,,,Rouge,,IGP Rouge,
IGP,Tranquille,,,,Blanc sec,,IGP Blanc sec,
IGP,Tranquille,,,,,,IGP Tranquille,VT_IG_IGP
IGP,Tranquille,Comté Tolosan,,,Rosé,,IGP Comté Tolosan Rosé,3S003
IGP,Tranquille,Comté Tolosan,,,Rouge,,IGP Comté Tolosan Rouge,3R003
IGP,Tranquille,Comté Tolosan,,,Blanc sec,,IGP Comté Tolosan Blanc sec,3B003
IGP,Tranquille,Comté Tolosan,,,Blanc doux,,IGP Comté Tolosan Blanc doux,3B003
IGP,Tranquille,Comté Tolosan,,Coteaux et Terrasses de Montauban,Rouge,,IGP Comté Tolosan Coteaux et Terrasses de Montauban Rouge,3R824
IGP,Tranquille,Comté Tolosan,,Coteaux et Terrasses de Montauban,Blanc sec,,IGP Comté Tolosan Coteaux et Terrasses de Montauban Blanc sec,3B824
IGP,Tranquille,Comté Tolosan,,Coteaux et Terrasses de Montauban,Rosé,,IGP Comté Tolosan Coteaux et Terrasses de Montauban Rosé,3S824
IGP,Tranquille,Comté Tolosan,,Bigorre,Rouge,,IGP Comté Tolosan Bigorre Rouge,3R652
IGP,Tranquille,Comté Tolosan,,Bigorre,Blanc sec,,IGP Comté Tolosan Bigorre Blanc sec,3B652
IGP,Tranquille,Comté Tolosan,,Bigorre,Rosé,,IGP Comté Tolosan Bigorre Rosé,3S652
IGP,Tranquille,Comté Tolosan,,Pyrénées Atlantiques,Rouge,,IGP Comté Tolosan Pyrénées Atlantiques Rouge,3R641
IGP,Tranquille,Comté Tolosan,,Pyrénées Atlantiques,Blanc sec,,IGP Comté Tolosan Pyrénées Atlantiques Blanc sec,3B641
IGP,Tranquille,Comté Tolosan,,Pyrénées Atlantiques,Rosé,,IGP Comté Tolosan Pyrénées Atlantiques Rosé,3S641
IGP,Tranquille,Comté Tolosan,,Tarn et Garonne,Rouge,,IGP Comté Tolosan Tarn et Garonne Rouge,3R821
IGP,Tranquille,Comté Tolosan,,Tarn et Garonne,Blanc sec,,IGP Comté Tolosan Tarn et Garonne Blanc sec,3B821
IGP,Tranquille,Comté Tolosan,,Tarn et Garonne,Rosé,,IGP Comté Tolosan Tarn et Garonne Rosé,3S821
IGP,Tranquille,Comté Tolosan,,Haute-Garonne,Rouge,,IGP Comté Tolosan Haute-Garonne Rouge,3R311
IGP,Tranquille,Comté Tolosan,,Haute-Garonne,Blanc sec,,IGP Comté Tolosan Haute-Garonne Blanc sec,3B311
IGP,Tranquille,Comté Tolosan,,Haute-Garonne,Rosé,,IGP Comté Tolosan Haute-Garonne Rosé,3S311
IGP,Tranquille,Comté Tolosan,,Cantal,Rouge,,IGP Comté Tolosan Cantal Rouge,3R151
IGP,Tranquille,Comté Tolosan,,Cantal,Blanc sec,,IGP Comté Tolosan Cantal Blanc sec,3B151
IGP,Tranquille,Comté Tolosan,,Cantal,Rosé,,IGP Comté Tolosan Cantal Rosé,3S151
IGP,Tranquille,Comté Tolosan,Primeur,,Rosé,,IGP Comté Tolosan Primeur Rosé,3S003
IGP,Tranquille,Comté Tolosan,Primeur,,Rouge,,IGP Comté Tolosan Primeur Rouge,3R003
IGP,Tranquille,Comté Tolosan,Primeur,,Blanc sec,,IGP Comté Tolosan Primeur Blanc sec,3B003
IGP,Tranquille,Côte du Lot,,,Rosé,,IGP Côte du Lot Rosé,3S461
IGP,Tranquille,Côte du Lot,,,Rouge,,IGP Côte du Lot Rouge,3R461
IGP,Tranquille,Côte du Lot,,,Blanc sec,,IGP Côte du Lot Blanc sec,3B461
IGP,Tranquille,Côte du Lot,Primeur,,Rosé,,IGP Côte du Lot Primeur Rosé,3S461
IGP,Tranquille,Côte du Lot,Primeur,,Rouge,,IGP Côte du Lot Primeur Rouge,3R461
IGP,Tranquille,Côte du Lot,Primeur,,Blanc sec,,IGP Côte du Lot Primeur Blanc sec,3B461
IGP,Tranquille,Côtes de Gascogne,,,Blanc sec,,IGP Côtes de Gascogne Blanc sec,3B323
IGP,Tranquille,Côtes de Gascogne,,,Blanc doux,,IGP Côtes de Gascogne Blanc doux,3B323
IGP,Tranquille,Côtes de Gascogne,,,Rosé,,IGP Côtes de Gascogne Rosé,3S323
IGP,Tranquille,Côtes de Gascogne,,,Rouge,,IGP Côtes de Gascogne Rouge,3R323
IGP,Tranquille,Côtes de Gascogne,Primeur,,Rosé,,IGP Côtes de Gascogne Primeur Rosé,3S323
IGP,Tranquille,Côtes de Gascogne,Primeur,,Rouge,,IGP Côtes de Gascogne Primeur Rouge,3R323
IGP,Tranquille,Côtes de Gascogne,Primeur,,Blanc sec,,IGP Côtes de Gascogne Primeur Blanc sec,3B323
IGP,Tranquille,Côtes du Tarn,,,Surmûris Blanc,,IGP Côtes du Tarn Surmûris Blanc,3B812U
IGP,Tranquille,Côtes du Tarn,,,Rosé,,IGP Côtes du Tarn Rosé,3S812
IGP,Tranquille,Côtes du Tarn,,,Rouge,,IGP Côtes du Tarn Rouge,3R812
IGP,Tranquille,Côtes du Tarn,,,Blanc sec,,IGP Côtes du Tarn Blanc sec,3B812
IGP,Tranquille,Côtes du Tarn,Primeur,,Blanc doux,,IGP Côtes du Tarn Primeur Blanc doux,3B812
IGP,Tranquille,Côtes du Tarn,Primeur,,Rosé,,IGP Côtes du Tarn Primeur Rosé,3S812
IGP,Tranquille,Côtes du Tarn,Primeur,,Rouge,,IGP Côtes du Tarn Primeur Rouge,3R812
IGP,Tranquille,Côtes du Tarn,Primeur,,Blanc sec,,IGP Côtes du Tarn Primeur Blanc sec,3B812
IGP,Tranquille,Lavilledieu,,,Rosé,,IGP Lavilledieu Rosé,3S040
