#declaration;details;key;detail;readable;writable;popup;sens du mvt;recolte;revendique;lié à vrac;lies et bourbe restriction;CVO;details;Douane type;lien avec XML Douane;taxable douane
declaration;details;stocks_debut;revendique;1;1;0;0;0;0;0;0;0;;STOCK;;0
declaration;details;stocks_debut;instance;1;0;0;0;0;0;0;0;0;;STOCK;;0
declaration;details;entrees;vci;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/mouvements-internes/integration-vci-agree;0
declaration;details;entrees;achatcrd;1;1;0;1;0;0;0;0;0;;ACQUITTE;entrees-periode/achats-reintegrations;0
declaration;details;entrees;achatnoncrd;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/volume-produit;0
declaration;details;entrees;regularisation;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/autres-entrees;0
declaration;details;entrees;transfertsinternes;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;entrees;repli;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;entrees;declassement;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;entrees;retourmarchandisenontaxees;1;1;0;1;0;0;0;0;1;;SUSPENDU;entrees-periode/replacement-suspension;0
declaration;details;entrees;retourmarchandisetaxees;1;1;0;1;0;0;0;0;1;;SUSPENDU;entrees-periode/replacement-suspension;1
declaration;details;entrees;transfertcomptamatierecession;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/replacement-suspension;0
declaration;details;entrees;travailafacon;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/mouvements-temporaires/travail-a-facon;0
declaration;details;entrees;revendique;1;1;0;1;0;0;0;0;0;;SUSPENDU;entrees-periode/volume-produit;0
declaration;details;sorties;vracsanscontratsuspendu;1;1;0;-1;0;0;0;0;1;;SUSPENDU;sorties-periode/sorties-avec-paiement-droits;1
declaration;details;sorties;vracsanscontratacquitte;1;1;0;-1;0;0;0;0;1;;ACQUITTE;sorties-periode/sorties-sans-paiement-droits;0
declaration;details;sorties;ventefrancebouteillecrd;1;1;0;-1;0;0;0;0;1;;MIXTE;sorties-periode/sorties-avec-paiement-droits;1
declaration;details;sorties;ventefrancebibcrd;1;1;0;-1;0;0;0;0;1;;MIXTE;sorties-periode/sorties-avec-paiement-droits;1
declaration;details;sorties;vrac;1;1;1;-1;0;0;1;0;1;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/sorties-definitives;0
declaration;details;sorties;contrathorsinterpro;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/sorties-definitives;0
declaration;details;sorties;cession;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;sorties;consommationfamilialedegustation;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/consomation-familiale-degustation;0
declaration;details;sorties;repli;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;sorties;distillationusageindustriel;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/autres-sorties;0
declaration;details;sorties;declassement;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;sorties;transfertsinternes;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;sorties;vci;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/revendication-vci;0
declaration;details;sorties;travailafacon;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-temporaires/travail-a-facon;0
declaration;details;sorties;export;1;1;1;-1;0;0;0;0;1;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/sorties-definitives;0
declaration;details;sorties;destructionperte;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;sorties;manquant;1;1;0;-1;0;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;stocks_fin;revendique;1;0;0;0;0;0;0;0;0;;STOCK;;0
declaration;details;stocks_fin;instance;1;0;0;0;0;0;0;0;0;;STOCK;;0
