#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle_noeud;format_libelle_noeud
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou;ANJ;;;;;Blanc;3;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;11;cepage;9010;cepage;1B200;cepage;1B200 03;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou Coteaux de la Loire;ANJCDL;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;L;;;;;;;21;cepage;9020;cepage;1B202L;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou;ANJ;;;;;Rouge;1;Gamay;GAM;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;32;cepage;9030;cepage;1R203S;cepage;;%g% %a% %l% %ce% %m%;cepage
inter-loire;AOC;AOC_INTERLOIRE/AOC;Fines bulles;EFF;Anjou;ANJ;;;;;Blanc;3;;;;L385;Vins Mousseux;9,29;2015-08-01;G;3,8;;A;;;;;;;44;cepage;9040;cepage;1B200M;cepage;1S200M;%a% %g% %l% %co% %m%;genre
inter-loire;AOC;AOC_INTERLOIRE;Fines bulles;EFF;Anjou;ANJ;;;;;Rosé;2;;;;L385;Vins Mousseux;9,29;2015-08-01;G;3,8;;A;;;;;;;44;cepage;9040;cepage;1B200M;cepage;1S200M;%a% %g% %l% %co% %m%;genre
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou;ANJ;;;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;52;cepage;9050;cepage;1R200S;cepage;;%g% %a% %l% %co% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou;ANJ;Primeur;PRI;;;Rouge;1;Gamay;GAM;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;132;cepage;9130;cepage;1R203S01;cepage;;%g% %a% %l% %ce% %m%;cepage
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou-Villages;AJV;;;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;62;cepage;9060;cepage;1R204S;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou-Villages Brissac;AJVBRI;;;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;5,5;;L;;;;;;;92;cepage;9090;cepage;1R217S;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Bonnezeaux;BON;;;;;Blanc;3;;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;9;2014-08-01;A;;;;;;;71;cepage;9070;cepage;1B210L;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Bourgueil;BRG;;;;;Rouge;1;Cabernet Franc;CBF;;L387;Vins Tranquilles;3,75;2015-08-01;C;-1;2015-08-01;C;;;;;;;592;cepage;;cepage;1S220S;cepage;;%g% %a% %l% %co% %m%;certification
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Bourgueil;BRG;;;;;Rosé;2;Cabernet Franc;CBF;;L387;Vins Tranquilles;3,75;2015-08-01;C;-1;2015-08-01;C;;;;;;;593;cepage;;cepage;1R220S;cepage;;%g% %a% %l% %co% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Cabernet d'Anjou;CAJ;;;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;83;cepage;9080;cepage;1S201D;cepage;1S201D03;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Cabernet de Saumur;CAS;;;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;A;;;;;;;103;cepage;9100;cepage;1S207;cepage;1S20701;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Chinon;CHI;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;581;cepage;9580;cepage;0631B;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Chinon;CHI;;;;;Rouge;1;Cabernet Franc;CBF;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;582;cepage;9580;cepage;0631R;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Chinon;CHI;;;;;Rosé;2;Cabernet Franc;CBF;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;583;cepage;9580;cepage;0631S;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux d'Ancenis;COA;;;;;Blanc;3;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;A;;;;;;;3010;cepage;9980;cepage;;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux d'Ancenis;COA;;;;;Rouge;1;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;A;;;;;;;3020;cepage;9980;cepage;;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux d'Ancenis;COA;;;;;Rosé;2;;;;L387;Vins Tranquilles;3,75;2015-08-01;G;3,8;;A;;;;;;;3030;cepage;9980;cepage;;cepage;;%g% %a% %l% %co% %m%;appellation
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux de l'Aubance;COB;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;5,5;;A;;;;;;;191;cepage;9190;cepage;1B211L;cepage;1B211L01;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux de Saumur;COS;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;5;;A;;;;;;;231;cepage;9230;cepage;1B213L;cepage;;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux du Layon;COL;;;;;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;5;;A;;;;;;;201;cepage;9200;cepage;1B212L;cepage;1B212L10;%g% %a% %l% %m%;certification
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Coteaux du Layon 1er cru Chaume;COL;;;Chaume;CHA;Blanc;3;Chenin;CHE;;L387;Vins Tranquilles;3,75;2015-08-01;G;5;;A;;;;;;;211;cepage;9210;cepage;1B212L02;cepage;;%g% %a% %l% %m%;certification
