#noeud;categorie;type;writable;readable;details;mouvement_coefficient;cvo;facturable
declaration;stocks_debut;revendique;1;1;0;0;0;0
declaration;stocks_debut;instance;1;0;0;0;0;0
declaration;stocks_debut;bloque;1;0;0;0;0;0
declaration;entrees;achat;1;1;0;1;0;0
declaration;entrees;recolte;1;1;0;1;0;0
declaration;entrees;transfert;1;1;0;1;0;0
declaration;entrees;cooperative;1;1;0;1;0;0
declaration;entrees;reintegration;1;1;0;1;0;1
declaration;entrees;elaboration;1;1;0;1;0;0
declaration;entrees;repli;1;1;0;1;0;0
declaration;entrees;regularisation;1;1;0;1;0;0
declaration;entrees;fermagemetayage;1;1;0;1;0;0
declaration;sorties;export;1;1;1;-1;0;1
declaration;sorties;vracsanscontrat;1;1;0;-1;0;1
declaration;sorties;vrac;1;1;1;-1;1;1
declaration;sorties;bib;1;1;0;-1;0;1
declaration;sorties;bouteille;1;1;0;-1;0;1
declaration;sorties;consommation;1;1;0;-1;0;0
declaration;sorties;distillation;1;1;0;-1;0;0
declaration;sorties;fermagemetayage;1;1;0;-1;0;0
declaration;sorties;repli;1;1;0;-1;0;0
declaration;sorties;declassement;1;1;0;-1;0;0
declaration;sorties;cooperative;1;1;1;-1;0;0
declaration;sorties;cession;1;1;0;-1;0;0
declaration;sorties;elaboration;1;1;0;-1;0;0
declaration;sorties;regularisation;1;1;0;-1;0;0
declaration;stocks_fin;revendique;1;0;0;0;0;0
declaration;stocks_fin;instance;1;0;0;0;0;0
declaration;stocks_fin;bloque;1;0;0;0;0;0
