#declaration;detail;key;detail;readable;writable;popup;sens du mvt;lié à vrac;CVO;Douane type;lien avec XML Douane;taxable douane
declaration;detail;stocks_debut;revendique;1;1;0;0;0;0;;;0
declaration;detail;stocks_debut;instance;1;0;0;0;0;0;;;0
declaration;detail;stocks_debut;bloque;1;0;0;0;0;0;;;0
declaration;detail;entrees;achat;1;1;0;1;0;0;;;0
declaration;detail;entrees;recolte;1;1;0;1;0;0;;;0
declaration;detail;entrees;transfert;1;1;0;1;0;0;;;0
declaration;detail;entrees;cooperative;1;1;0;1;0;0;;;0
declaration;detail;entrees;reintegration;1;1;0;1;0;1;;;0
declaration;detail;entrees;elaboration;1;1;0;1;0;0;;;0
declaration;detail;entrees;repli;1;1;0;1;0;0;;;0
declaration;detail;entrees;regularisation;1;1;0;1;0;0;;;0
declaration;detail;entrees;fermagemetayage;1;1;0;1;0;0;;;0
declaration;detail;sorties;export;1;1;1;-1;0;1;;;0
declaration;detail;sorties;vracsanscontrat;1;1;0;-1;0;1;;;0
declaration;detail;sorties;vrac;1;1;1;-1;1;1;;;0
declaration;detail;sorties;bib;1;1;0;-1;0;1;;;0
declaration;detail;sorties;bouteille;1;1;0;-1;0;1;;;0
declaration;detail;sorties;consommation;1;1;0;-1;0;0;;;0
declaration;detail;sorties;distillation;1;1;0;-1;0;0;;;0
declaration;detail;sorties;fermagemetayage;1;1;0;-1;0;0;;;0
declaration;detail;sorties;repli;1;1;0;-1;0;0;;;0
declaration;detail;sorties;declassement;1;1;0;-1;0;0;;;0
declaration;detail;sorties;cooperative;1;1;1;-1;0;0;;;0
declaration;detail;sorties;cession;1;1;0;-1;0;0;;;0
declaration;detail;sorties;elaboration;1;1;0;-1;0;0;;;0
declaration;detail;sorties;regularisation;1;1;0;-1;0;0;;;0
declaration;detail;stocks_fin;revendique;1;0;0;0;0;0;;;0
declaration;detail;stocks_fin;instance;1;0;0;0;0;0;;;0
declaration;detail;stocks_fin;bloque;1;0;0;0;0;0;;;0
declaration;detail;stocks_debut;instance;1;0;0;0;0;0;STOCK;;0
declaration;detail;stocks_debut;revendique;1;1;0;0;0;0;STOCK;;0
