stocks_debut;initial;"Initial récolté";"Stock initial récolté";"Stock initial récolté"
stocks_debut;instance;"En instance de revendication";"Vin en instance de revendication";"Vin en instance de revendication"
stocks_debut;dont_revendique;"dont revendiqué";"Stock revendiqué dbt de mois";"Stock revendiqué dbt de mois"
entrees;recolte;"1- Récolte";"Récolte";"Récolte"
entrees;revendication;"2- Revendiqué à l'ODG";"Revendication de récolte";"Revendication de récolte"
entrees;repli;"3- Issu d'un repli";"Repli";"Repli
entrees;declassement;"4- Issu d'un Déclassement";"Déclassement";"Déclassement"
entrees;transfertsrecolte;"5- Transfert de produit";"Transfert de recolte";"Transfert de recolte"
entrees;retourembouteillage;"6- Retour de conditionnement";"Retour de conditionnement";"Retour d'embouteillage"
entrees;transfertcomptamatierecession;"7- Retour de logement externe";"Retour de logement externe";"Retour de logement externe"
entrees;travailafacon;"8 -Travail à façon";"Retour de travail à façon";"Retour de travail à façon, distillation à façon"
entrees;retourmarchandisetaxees;"9- Retour de vin sous CRD";"Retour de marchandises ayant déjà été taxées";"Retour de marchandises ayant déjà été taxées"
entrees;retourmarchandisenontaxees;"10- Retour de vin hors CRD";"Retour de marchandises non taxées";"Retour de marchandises non taxées"
entrees;achatcrd;"11- Achat de volumes sous CRD";"Achat de vin en CRD";"Achat de vin en CRD"
entrees;achatnoncrd;"12- Achat de volume hors CRD";"Achat de vin non CRD";"Achat de vin non CRD"
entrees;regularisation;"13- Excédent constaté";"Régularisation";"Régularisation"
sorties;vrac;"1- Vrac sous contrat";"Contrat de vin en vrac ou conditionné";"Contrat de vin en vrac ou conditionné"
sorties;vracsanscontratsuspendu;"2- Contrats hors interpro";"Contrats hors interpro";"Contrats hors interpro"
sorties;apportgroupement;"3- Vrac hors interpro";"Contrats hors interpro";"Contrats hors interpro"
sorties;export;"4- Export";"Export";"Export"
sorties;vracsanscontratacquitte;"5- Vente sous DSA";"Sortie de vrac sans contrat (acquitté)";"Sortie de vrac sans contrat (acquitté)"
sorties;ventefrancecrd;"6- Vente sous CRD";"Ventes en France de Bouteilles sous CRD";"Ventes en France de Bouteilles sous CRD"
sorties;repli;"7- Repli";"Repli";"Repli"
sorties;declassement;"8- Déclassement";"Déclassement";"Déclassement"
sorties;transfertsrecolte;"9- Transfert de produit";"Transfert de récolte";"Transfert de récolte"
sorties;embouteillage;"10- Sortie pour conditionnement";"Transfert de récolte";"Transfert de récolte"
sorties;transfertsinternes;"11- Sortie pour logement externe";"Transferts internes d'un chai à un autre";"Transferts internes d'un chai à un autre"
sorties;travailafacon;"12- Sortie pour travail à façon";"Sortie d'embouteillage, relogement, travail à façon, distillation à façon";"Sortie d'embouteillage, relogement, travail à façon, distillation à façon"
sorties;consommationfamilialedegustation;"13- Conso. Familiale";"Consomation familiale et dégustation";"Consomation familiale et dégustation"
sorties;distillationusageindustriel;"14- Usages industriel";"Distillation et usages industriels";"Distillation et usages industriels"
sorties;destructionperte;"15- Destruction/perte";"Destruction et pertes";"Destruction et pertes
sorties;manquant;"16- Manquant";"Manquant";"Manquant"
sorties;cession;"17- Cession";"Cession d'activité";"Cession d'activité"
stocks_fin;final;"Final récolté";"Final récolté";"Stock final récolté";"Stock final récolté"
stocks_fin;instance;"En instance de revendication";"En instance de revendication";"En instance de revendication"
stocks_fin;dont_revendique;"dont revendiqué";"Stock revendiqué en fin de mois";"Stock revendiqué en fin de mois"
