#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorisés
declaration;AOC;AOC;Tranquille;TRANQ;Bergerac;BGR;;;;;Rouge;2;;;;;;;;;3,76;;C;;;;;;;BGR2;cepage;;;1R103S;cepage;;%a% %l% %m% %co% ;genre;Cabernet Franc N|Cabernet Sauvignon N|Cot N (=Malbec N)|Merlot N|Fer Servadou N|Mérille N
declaration;AOC;AOC;Tranquille;TRANQ;Bergerac;BGR;;;;;Rose;3;;;;;;;;;3,76;;C;;;;;;;BRS3;cepage;;;1S103;cepage;;%a% %l% %m% %co% ;genre;Cabernet Franc N|Cabernet Sauvignon N|Cot N (=Malbec N)|Merlot N|Fer Servadou N|Mérille N
declaration;AOC;AOC;Tranquille;TRANQ;Bergerac;BGR;;;;;Rose demi sec;7;;;;;;;;;3,76;;C;;;;;;;BRS3;cepage;;;1S103;cepage;;%a% %l% %m% %co% ;genre;Cabernet Franc N|Cabernet Sauvignon N|Cot N (=Malbec N)|Merlot N|Fer Servadou N|Mérille N
declaration;AOC;AOC;Tranquille;TRANQ;Bergerac;BGR;;;;;Blanc sec;1;;;;;;;;;3,76;;C;;;;;;;BGS1;cepage;;;1B103S;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B|Ugni Blanc B|Chenin B|Ondenc B
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Bergerac;CDB;;;;;Rouge;2;;;;;;;;;5,8;;C;;;;;;;CBR2;cepage;;;1R103S1;cepage;;%a% %l% %m% %co% ;genre;Cabernet Franc N|Cabernet Sauvignon N|Cot N (=Malbec N)|Merlot N
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Bergerac;CDB;;;;;Blanc demi sec;1;;;;;;;;;3,76;;C;;;;;;;CDB1;cepage;;;1B103D;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B|Ugni Blanc B|Chenin B|Ondenc B
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Bergerac;CDB;;;;;Blanc moelleux;3;;;;;;;;;3,76;;C;;;;;;;CDB1;cepage;;;1B103D;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B|Ugni Blanc B|Chenin B|Ondenc B
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Bergerac;CDB;;;;;Blanc doux;4;;;;;;;;;3,76;;C;;;;;;;CDB1;cepage;;;1B103D;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B|Ugni Blanc B|Chenin B|Ondenc B
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Duras;CDD;;;;;Rouge;2;;;;;;;;;3,4;;C;;;;;;;CDR2;cepage;;;1R117S;cepage;;%a% %l% %m% %co% ;genre;Cabernet Franc N|Cabernet Sauvignon N|Cot N (=Malbec N)|Merlot N
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Duras;CDD;;;;;Rose;3;;;;;;;;;3,4;;C;;;;;;;CDE3;cepage;;;1S117S;cepage;;%a% %l% %m% %co% ;genre;Cabernet Franc N|Cabernet Sauvignon N|Cot N (=Malbec N)|Merlot N
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Duras;CDD;;;;;Blanc sec;1;;;;;;;;;3,4;;C;;;;;;;CDS1;cepage;;;1B117S;cepage;;%a% %l% %m% %co% ;genre;Chenin B|Mauzac B|Muscadelle B|Ondenc B|Sauvignon B|Sauvignon Gris G|Sémillon B|Colombard B|Ugni Blanc B
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Duras;CDD;;;;;Blanc moelleux;4;;;;;;;;;3,4;;C;;;;;;;CDM1;cepage;;;1B117D;cepage;;%a% %l% %m% %co% ;genre;Chenin B|Mauzac B|Muscadelle B|Ondenc B|Sauvignon B|Sauvignon Gris G|Sémillon B|Colombard B|Ugni Blanc B
declaration;AOC;AOC;Tranquille;TRANQ;Côtes de Duras;CDD;;;;;Blanc doux;7;;;;;;;;;3,4;;C;;;;;;;CDM1;cepage;;;1B117D;cepage;;%a% %l% %m% %co% ;genre;Chenin B|Mauzac B|Muscadelle B|Ondenc B|Sauvignon B|Sauvignon Gris G|Sémillon B|Colombard B|Ugni Blanc B
declaration;AOC;AOC;Tranquille;TRANQ;Montravel;MTV;;;;;Rouge;2;;;;;;;;;5,8;;C;;;;;;;MTR2;cepage;;;1R146S;cepage;;%a% %l% %m% %co% ;genre;Merlot N|Cabernet Franc N|Cabernet Sauvignon N|Cot N (=Malbec N)
declaration;AOC;AOC;Tranquille;TRANQ;Montravel;MTV;;;;;Blanc sec;1;;;;;;;;;4;;C;;;;;;;MTL1;cepage;;;1B146S;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B|Ondenc B
declaration;AOC;AOC;Tranquille;TRANQ;Montravel;MTV;;;;;Blanc moelleux;5;;;;;;;;;4;;C;;;;;;;CTL1;cepage;;;1B118D;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B|Ondenc B
declaration;AOC;AOC;Tranquille;TRANQ;Montravel;MTV;;;;;Blanc doux;4;;;;;;;;;4;;C;;;;;;;CTL1;cepage;;;1B118D;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B|Ondenc B
declaration;AOC;AOC;Tranquille;TRANQ;Pécharmant;PCM;;;;;Rouge;2;;;;;;;;;5,8;;C;;;;;;;PEC2;cepage;;;1R149S;cepage;;%a% %l% %m%;appellation;Cabernet Franc N|Cabernet Sauvignon N|Cot N (=Malbec N)|Merlot N
declaration;AOC;AOC;Tranquille;TRANQ;Rosette;RST;;;;;Blanc moelleux;2;;;;;;;;;4;;C;;;;;;;ROS1;cepage;;;1B155D;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B
declaration;AOC;AOC;Tranquille;TRANQ;Rosette;RST;;;;;Blanc doux;1;;;;;;;;;4;;C;;;;;;;ROS1;cepage;;;1B155D;cepage;;%a% %l% %m% %co% ;genre;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B
declaration;AOC;AOC;Tranquille;TRANQ;Haut Montravel;HMT;;;;;Blanc doux;4;;;;;;;;;6;;C;;;;;;;HTL1;cepage;;;1B133D;cepage;;%a% %l% %m%;appellation;Muscadelle B|Sauvignon B|Sauvignon Gris G|Sémillon B|Ondenc B
