details;stocks_debut;initial;Initial récolté;Stock initial récolté;"Le volume récolté correspond à celui indiqué sur la Déclaration de Récolte (lignes 14 pour les VSIG; 15 pour les AOC & IGP; 19 pour les VCI).";
details;stocks_debut;instance;En instance de revendication;Vin en instance de revendication;Vin en instance de revendication;
details;stocks_debut;dont_revendique;dont revendiqué;Stock revendiqué dbt de mois;Pour les AOC & IGP, le volume revendiqué correspond à celui effectivement revendiqué auprès de l'ODG. Pour les VSIG, ce volume est identique au volume récolté.;
details;entrees;recolte;01. Récolte;Récolte;"Indiquer le volume inscrit sur  la déclaration de récolte  (lignes 14 pour les VSIG; 15 pour les AOC & IGP; 19 pour les VCI).";
details;entrees;revendication;02. Revendiqué à l'ODG;Revendication de récolte;Indiquer le volume ayant fait l’objet d'une déclaration de revendication.;
details;entrees;repli;03. Issu d'un repli;Repli;"Toute entrée dans cette rubrique pour une colonne doit trouver son équivalent en sortie dans une autre colonne. Tout repli doit être autorisé par le cahier des charges (AOC vers une autre AOC; IGP de zone ou de département vers une IGP régionale).";
details;entrees;declassement;04. Issu d'un déclassement;Déclassement;Toute entrée dans cette rubrique pour une colonne doit trouver son équivalent en sortie dans une autre colonne. Tout déclassement (AOC ou IGP vers les VSIG) doit être déclaré à l'ODG.;
details;entrees;transfertsrecolte;05. Transfert de produit;Transfert de recolte;(Concerne que les IGP. Ex: Volume récolté en Côtes de Gascogne et finalement revendiqué en Comté Tolosan)  Indiquer les volumes transférés en provenance d'une autre IGP (récoltés mais non encore revendiqués). Toute entrée dans cette rubrique pour une colonne doit trouver son équivalent en revendication dans la même colonne et en sortie dans une autre colonne.;
details;entrees;retourembouteillage;06. Retour conditionnmt;Retour de conditionnement;Retour de vins conditionnés  (mis en bouteilles, en BIB...) à l'extérieur de votre chai par un prestataire.;
details;entrees;transfertcomptamatierecession;07. Retour logement ext.;Retour de logement externe;Retour de vins logés temporairement dans un chai extérieur.;
details;entrees;travailafacon;08. Retour Travail à façon;Retour de travail à façon;Retour de vins préparés  par un prestataire extérieur (mousseux).;
details;entrees;retourmarchandisetaxees;09. Retour de vin sous CRD;Retour de marchandises ayant déjà été taxées;Retour de vins préalablement sortis sous CRD (déductible des CVO).;
details;entrees;retourmarchandisenontaxees;10. Retour de vin hors CRD;Retour de marchandises non taxées;Retour de vins préalablement sortis sans CRD (déductible des CVO).;
details;entrees;achatcrd;11. Achat sous CRD;Achat de vin en CRD;Indiquer les volumes achetés conditionnés sous CRD. Cas exceptionnel.;
details;entrees;achatnoncrd;12. Achat hors CRD;Achat de vin non CRD;Indiquer les volumes achetés sans CRD. Cas exceptionnel.;
details;entrees;regularisation;13. Excédent constaté;Régularisation;Indiquer les volumes constatés en excédent à l'occasion d'un inventaire ou d'un contrôle des douanes,;
details;sorties;consommationfamilialedegustation;01. Conso. Familiale;Consomation familiale et dégustation;Indiquer les volumes de consommation familiale.;
