#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;format_libelle_noeud;format_libelle_noeud;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou;ANJ;;;;;Blanc;3;;;%g% %a% %l% %co% %m%;A;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;11;cepage;9010;cepage;1B200;cepage;1B200 03
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou Coteaux de la Loire;ANJCDL;;;;;Blanc;3;Chenin;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4;;L;;;;;;;21;cepage;9020;cepage;1B202L;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou;ANJ;;;;;Rouge;1;Gamay;GAM;%g% %a% %l% %ce% %m%;CE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;32;cepage;9030;cepage;1R203S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;EFF;EFF;Anjou fines bulles;ANJ;;;;;Blanc;3;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;3,8;;A;;;;;;;44;cepage;9040;cepage;1B200M;cepage;1S200M
inter-loire;AOC;AOC_INTERLOIRE;EFF;EFF;Anjou fines bulles;ANJ;;;;;Rosé;2;;;%a% %g% %l% %co% %m%;G;;L385;Vins Mousseux;9,29;2015-08-01;G;3,8;;A;;;;;;;44;cepage;9040;cepage;1B200M;cepage;1S200M
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou;ANJ;;;;;Rouge;1;;;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;52;cepage;9050;cepage;1R200S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou;ANJ;Primeur;PRI;;;Rouge;1;Gamay;GAM;%g% %a% %l% %ce% %m%;CE;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;G;;;;;;;132;cepage;9130;cepage;1R203S01;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou-Villages;AJV;;;;;Rouge;1;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;4,5;;A;;;;;;;62;cepage;9060;cepage;1R204S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Anjou-Villages Brissac;AJVBRI;;;;;Rouge;1;;;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;5,5;;L;;;;;;;92;cepage;9090;cepage;1R217S;cepage;
inter-loire;AOC;AOC_INTERLOIRE/AOC;;TRANQ;Bonnezeaux;BON;;;;;Blanc;3;;CHE;%g% %a% %l% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;9;2014-08-01;A;;;;;;;71;cepage;9070;cepage;1B210L;cepage;
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Bourgueil;BRG;;;;;Rouge;1;Cabernet Franc;CBF;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;2015-08-01;A;;;;;;;592;cepage;;cepage;1S220S;cepage;
inter-loire;AOC;AOC_HORSINTERLOIRE/AOC;;TRANQ;Bourgueil;BRG;;;;;Rosé;2;Cabernet Franc;CBF;%g% %a% %l% %co% %m%;C;;L387;Vins Tranquilles;3,75;2015-08-01;G;0;2015-08-01;A;;;;;;;593;cepage;;cepage;1R220S;cepage;
