#declaration;details;key;details;readable;writable;popup;sens du mvt;recolte;revendique;lié à vrac;lies et bourbe restriction;CVO;details;Douane type;lien avec XML Douane;taxable douane
declaration;details;stocks_debut;initial;1;0;0;0;0;0;0;0;0;;STOCK;;0
declaration;details;stocks_debut;instance;1;0;0;0;0;0;0;0;0;;STOCK;;0
declaration;details;entrees;recolte;1;1;0;1;1;0;0;0;0;;SUSPENDU;entrees-periode/volume-produit;0
declaration;details;entrees;declassement;1;1;0;1;1;1;0;0;0;;SUSPENDU;entrees-periode/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;entrees;retourembouteillage;1;1;0;1;1;1;0;0;0;;SUSPENDU;entrees-periode/mouvements-temporaires/relogement;0
declaration;details;entrees;transfertcomptamatierecession;1;1;0;1;1;1;0;0;0;;SUSPENDU;entrees-periode/replacement-suspension;
declaration;details;entrees;travailafacon;1;1;0;1;1;1;0;0;0;;SUSPENDU;entrees-periode/mouvements-temporaires/travail-a-facon;0
declaration;details;entrees;transfertsvin;1;1;0;1;1;1;0;0;0;;SUSPENDU;entrees-periode/replacement-suspension;
declaration;details;entrees;cooperative;1;1;0;1;1;1;0;0;0;;SUSPENDU;entrees-periode/volume-produit;
declaration;details;entrees;retourmarchandisenontaxees;1;1;0;1;1;1;0;0;1;;SUSPENDU;entrees-periode/replacement-suspension;0
declaration;details;entrees;retourmarchandisetaxees;1;1;0;1;1;1;0;0;1;;SUSPENDU;entrees-periode/replacement-suspension;1
declaration;details;entrees;achatcrd;1;1;0;1;1;1;0;0;0;;ACQUITTE;entrees-periode/achats-reintegrations;0
declaration;details;entrees;achatnoncrd;1;1;0;1;1;1;0;0;0;;SUSPENDU;entrees-periode/volume-produit;0
declaration;details;entrees;regularisation;1;1;0;1;1;1;0;0;0;;SUSPENDU;entrees-periode/autres-entrees;0
declaration;details;sorties;creationvrac;1;1;1;-1;1;1;1;0;1;CREATIONVRAC;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/sorties-definitives;0
declaration;details;sorties;creationvractirebouche;1;1;1;-1;1;1;1;0;1;CREATIONVRAC;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/sorties-definitives;0
declaration;details;sorties;apportgroupement;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;sorties;export;1;1;1;-1;1;1;0;0;1;EXPORT;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/sorties-definitives;0
declaration;details;sorties;vracsanscontratacquitte;1;1;0;-1;1;1;0;0;1;;ACQUITTE;sorties-periode/sorties-sans-paiement-droits;0
declaration;details;sorties;ventefrancecrd;1;1;0;-1;1;1;0;0;1;;MIXTE;sorties-periode/sorties-avec-paiement-droits;1
declaration;details;sorties;declassement;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;sorties;transfertsvin;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation;
declaration;details;sorties;transfertsrecolte;1;1;0;-1;1;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;sorties;embouteillage;1;1;0;-1;1;0;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/embouteillage;0
declaration;details;sorties;transfertcomptamatiere;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-internes/replis-declassement-transfert-changement-appellation;0
declaration;details;sorties;travailafacon;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/mouvements-temporaires/travail-a-facon;0
declaration;details;sorties;consommationfamilialedegustation;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/consomation-familiale-degustation;0
declaration;details;sorties;destructionperte;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;sorties;manquant;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;sorties;cession;1;1;0;-1;1;1;0;0;0;;SUSPENDU;sorties-periode/sorties-sans-paiement-droits/autres-sorties;0
declaration;details;stocks_fin;instance;1;0;0;0;0;0;0;0;0;;STOCK;;0
declaration;details;stocks_fin;final;1;0;0;0;0;0;0;0;0;;STOCK;;0
declaration;detailsACQUITTE;stocks_debut;initial;1;0;;0;0;0;0;0;0;;STOCK;;0
declaration;detailsACQUITTE;stocks_debut;instance;1;0;;0;0;0;0;0;0;;STOCK;;0
declaration;detailsACQUITTE;entrees;achat;1;1;;1;1;1;0;0;0;;ACQUITTE;entrees-periode/achats;0
declaration;detailsACQUITTE;entrees;autre;1;1;;1;1;1;0;0;0;;ACQUITTE;entrees-periode/autres-entrees;0
declaration;detailsACQUITTE;sorties;vente;1;1;;-1;1;1;0;0;0;;ACQUITTE;sorties-periode/ventes;0
declaration;detailsACQUITTE;sorties;replacementsuspension;1;1;;-1;1;1;0;0;0;;ACQUITTE;sorties-periode/replacement-suspension;0
declaration;detailsACQUITTE;sorties;autre;1;1;;-1;1;1;0;0;0;;ACQUITTE;sorties-periode/autres-sorties;0
declaration;detailsACQUITTE;stocks_fin;final;1;0;;0;0;0;0;0;0;;STOCK;;0
declaration;detailsACQUITTE;stocks_fin;instance;1;0;;0;0;0;0;0;0;;STOCK;;0
