#interpro;categorie_libelle;categorie_code;genre_libelle;genre_code;denomination_libelle;denomination_code;mention_libelle;mention_code;lieu_libelle;lieu_code;couleur_libelle;couleur_code;cepage_libelle;cepage_code;departements;douane_code;douane_libelle;douane_taxe;douane_date;douane_noeud;cvo_taxe;cvo_date;cvo_noeud;repli_entree;repli_sorti;declassement_entree;declassement_sorti;densite;labels;code_produit;code_produit_noeud;code_analytique;code_comptable_noeud;code_douane;code_douane_noeud;alias_produit;format_libelle;format_libelle_noeud;cepages autorises
declaration;AOC;AOC;Tranquille;TRANQ;Sancerre;SCR;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Sancerre;SCR;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Sancerre;SCR;;;;;Rosé;rose;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Pouilly-Fumé;PFM;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Pouilly-sur-Loire;PSL;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Menetou-Salon;MTS;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Menetou-Salon;MTS;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Menetou-Salon;MTS;;;;;Rosé;rose;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Quincy;QCY;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m%;cepage;
declaration;AOC;AOC;Tranquille;TRANQ;Reuilly;RLY;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Reuilly;RLY;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Reuilly;RLY;;;;;Rosé;rose;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Coteaux du Giennois;CDG;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Coteaux du Giennois;CDG;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Coteaux du Giennois;CDG;;;;;Rosé;rose;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Châteaumeillant;CHM;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;AOC;AOC;Tranquille;TRANQ;Châteaumeillant;CHM;;;;;Rosé;rose;;;;;Vins Tranquilles;3.77;2016-01-01;genres;3;;;;;;;;;;;;;;;;%c% %a% %l% %m% %co%;certification;
declaration;Autres;AUTRES;;;Lies et Bourbes;LIES;;;;;;defaut;;;;;Vins Tranquilles;0;;;;1900-01-01;;;;;;;;;;;;;;;%a% %g% %l% %m% %co%;certification;
declaration;Autres;AUTRES;;;DPLC;DPLC;;;;;;defaut;;;;;Vins Tranquilles;0;;;;1900-01-01;;;;;;;;;;;;;;;%a% %g% %l% %m% %co%;certification;
declaration;Vin de France;VSIG;Tranquille;TRANQ;;;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %g% %co%;certification;
declaration;Vin de France;VSIG;Tranquille;TRANQ;;;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2017-06-07;;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %g% %co%;certification;
declaration;Vin de France;VSIG;Tranquille;TRANQ;;;;;;;Rosé;rose;;;;;Vins Tranquilles;3.77;2017-07-06;;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %g% %co%;certification;
declaration;Vin de France;VSIG;Mousseux;MOU;;;;;;;Blanc;blanc;;;;;Vins Tranquilles;9.29;2016-01-01;;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %g% %co%;certification;
declaration;Vin de France;VSIG;Mousseux;MOU;;;;;;;Rosé;rose;;;;;Vins Tranquilles;9.29;2017-07-06;;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %g% %co%;certification;
declaration;IGP;IGP;Tranquille;TRANQ;Coteaux de Tannay;;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2017-01-01;genres;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %co%;couleur;
declaration;IGP;IGP;Tranquille;TRANQ;Côtes de la Charité;CDC;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %co%;couleur;
declaration;IGP;IGP;Tranquille;TRANQ;Côtes de la Charité;CDC;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2016-01-01;genres;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %co%;couleur;
declaration;IGP;IGP;Tranquille;TRANQ;Côtes de la Charité;CDC;;;;;Rosé;rose;;;;;Vins Tranquilles;3.77;2016-01-01;genres;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %co%;cepage;
declaration;IGP;IGP;Tranquille;TRANQ;Coteaux de Tannay;CDT;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2016-01-01;genres;0;2017-01-07;;;;;;;;;;;;;;;%c% %a% %co%;couleur;
declaration;IGP;IGP;Tranquille;TRANQ;Coteaux de Tannay;CDT;;;;;Rosé;rose;;;;;Vins Tranquilles;3.77;2016-01-01;genres;0;2017-01-04;;;;;;;;;;;;;;;%c% %a% %co%;certification;
declaration;IGP;IGP;Tranquille;TRANQ;Coteaux du Cher et de l'Arnon;CDCA;;;;;Blanc;blanc;;;;;Vins Tranquilles;3.77;2016-01-01;genres;0;2017-01-04;;;;;;;;;;;;;;;%c% %a% %co% %ce%;certification;
declaration;IGP;IGP;Tranquille;TRANQ;Coteaux du Cher et de l'Arnon;CDCA;;;;;Rouge;rouge;;;;;Vins Tranquilles;3.77;2016-01-01;genres;0;2017-01-04;;;;;;;;;;;;;;;%c% %a% %co%;certification;
declaration;IGP;IGP;Tranquille;TRANQ;Coteaux du Cher et de l'Arnon;CDCA;;;;;Rosé;defaut;;;;;Vins Tranquilles;3.77;2016-01-01;genres;0;2017-01-04;;;;;;;;;;;;;;;%c% %a% %co%;certification;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Blanc  ;blanc;;;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3B009  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Blanc  ;blanc;Multi cépage  ;MULTI;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3B009 00  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Blanc  ;blanc;Pinot blanc  ;PIB;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3B009 59  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Blanc  ;blanc;Pinot gris  ;PIG;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3B009 AA  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Blanc  ;blanc;Sauvignon blanc  ;SAUB;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3B009 AE  ;cepage;;%c% %a% %co% %ce %;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Blanc  ;blanc;Sauvignon gris  ;SAUG;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3B009 AF  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Blanc  ;blanc;Chardonnay  ;CHA;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3B009 CA  ;cepage;;%c% %a% %co% %ce%;cepage;
declaration;IGP;IGP_VALDELOIRE;Tranquille;TRANQ;Val de Loire;VAL;;;;;Blanc  ;blanc;Chenin  ;CHE;;;Vins Tranquilles;3.77 ;2016-01-01;genres;0;2016-01-01;;;;;;;;;;;;3B009 CF  ;cepage;;%c% %a% %co% %ce%;cepage;
